update,mean_coopval,mean_foodval,count
713,0.437173,300,2
714,0.437173,300,2
715,0.437173,300,2
716,0.437173,300,2
717,0.437173,300,2
718,0.437173,300,2
719,0.437173,300,2
720,0.437173,300,2
721,0.437173,300,2
722,0.437173,300,2
723,0.437173,300,2
724,0.437173,300,2
725,0.437173,300,2
726,0.437173,300,2
727,0.437173,300,2
728,0.437173,300,2
729,0.437173,300,2
730,0.437173,300,2
731,0.437173,300,2
732,0.437173,300,2
733,0.437173,300,2
734,0.437173,300,2
735,0.437173,300,2
736,0.437173,300,2
737,0.437173,300,2
738,0.437173,300,2
739,0.437173,300,2
740,0.437173,300,2
741,0.437173,300,2
742,0.437173,300,2
743,0.437173,300,2
744,0.437173,300,2
745,0.437173,300,2
746,0.437173,300,2
747,0.437173,300,2
748,0.437173,300,2
749,0.437173,300,2
750,0.437173,300,2
751,0.437173,300,2
752,0.437173,300,2
753,0.437173,300,2
754,0.437173,300,2
755,0.437173,300,2
756,0.437173,300,2
757,0.437173,300,2
758,0.437173,300,2
759,0.437173,300,2
760,0.437173,300,2
761,0.437173,300,2
762,0.437173,300,2
763,0.437173,300,2
764,0.437173,300,2
765,0.437173,300,2
766,0.437173,300,2
767,0.437173,300,2
768,0.437173,300,2
769,0.437173,300,2
770,0.437173,300,2
771,0.437173,300,2
772,0.437173,300,2
773,0.437173,300,2
774,0.437173,300,2
775,0.437173,300,2
776,0.437173,300,2
777,0.437173,300,2
778,0.437173,300,2
779,0.437173,300,2
780,0.437173,300,2
781,0.437173,300,2
782,0.437173,300,2
783,0.437173,300,2
784,0.437173,300,2
785,0.437173,300,2
786,0.437173,300,2
787,0.437173,300,2
788,0.437173,300,2
789,0.437173,300,2
790,0.437173,300,2
791,0.437173,300,2
792,0.437173,300,2
793,0.437173,300,2
794,0.437173,300,2
795,0.437173,300,2
796,0.437173,300,2
797,0.437173,300,2
798,0.437173,300,2
799,0.437173,300,2
800,0.437173,300,2
801,0.437173,300,2
802,0.437173,300,2
803,0.437173,300,2
804,0.437173,300,2
805,0.437173,300,2
806,0.437173,300,2
807,0.437173,300,2
808,0.437173,300,2
809,0.437173,300,2
810,0.437173,300,2
811,0.437173,300,2
812,0.437173,300,2
813,0.437173,300,2
814,0.437173,300,2
815,0.437173,300,2
816,0.437173,300,2
817,0.437173,300,2
818,0.437173,300,2
819,0.437173,300,2
820,0.437173,300,2
821,0.437173,300,2
822,0.437173,300,2
823,0.437173,300,2
824,0.437173,300,2
825,0.437173,300,2
826,0.437173,300,2
827,0.437173,300,2
828,0.437173,300,2
829,0.437173,300,2
830,0.437173,300,2
831,0.437173,300,2
832,0.437173,300,2
833,0.437173,300,2
834,0.437173,300,2
835,0.437173,300,2
836,0.437173,300,2
837,0.437173,300,2
838,0.437173,300,2
839,0.437173,300,2
840,0.437173,300,2
841,0.437173,300,2
842,0.437173,300,2
843,0.437173,300,2
844,0.437173,300,2
845,0.437173,300,2
846,0.437173,300,2
847,0.437173,300,2
848,0.437173,300,2
849,0.437173,300,2
850,0.437173,300,2
851,0.437173,300,2
852,0.437173,300,2
853,0.437173,300,2
854,0.437173,300,2
855,0.437173,300,2
856,0.437173,300,2
857,0.437173,300,2
858,0.437173,300,2
859,0.437173,300,2
860,0.437173,300,2
861,0.437173,300,2
862,0.437173,300,2
863,0.437173,300,2
864,0.437173,300,2
865,0.437173,300,2
866,0.437173,300,2
867,0.437173,300,2
868,0.437173,300,2
869,0.437173,300,2
870,0.437173,300,2
871,0.437173,300,2
872,0.437173,300,2
873,0.437173,300,2
874,0.437173,300,2
875,0.437173,300,2
876,0.437173,300,2
877,0.437173,300,2
878,0.437173,300,2
879,0.437173,300,2
880,0.437173,300,2
881,0.437173,300,2
882,0.437173,300,2
883,0.437173,300,2
884,0.437173,300,2
